english,english_normalized,domain,primary_tamil,all_alternatives,sources
. columbus. oh. us,. columbus. oh. us,hardware,கொலம்பஸ். ஓஹெச். யுஎஸ்,கொலம்பஸ். ஓஹெச். யுஎஸ்,மணவை முஸ்தபா
. com,. com,general,. காம்,. காம்,மணவை முஸ்தபா
. cv,. cv,general,சிவி,சிவி,மணவை முஸ்தபா
. dj,. dj,general,. டிஜே,. டிஜே,மணவை முஸ்தபா
. dk,. dk,general,. டிகே,. டிகே,மணவை முஸ்தபா
. dll,. dll,general,. டிஎல்எல்,. டிஎல்எல்,மணவை முஸ்தபா
. do,. do,general,டிஒ,டிஒ,மணவை முஸ்தபா
. doc,. doc,general,. டாக்;டிஓசி,. டாக்;டிஓசி,மணவை முஸ்தபா
. edu,. edu,general,. இடியு,. இடியு,மணவை முஸ்தபா
. eg,. eg,general,. இஜி,. இஜி,மணவை முஸ்தபா
. er,. er,general,. இஆர்,. இஆர்,மணவை முஸ்தபா
. exe,. exe,general,. இஎக்ஸ்இ,. இஎக்ஸ்இ,மணவை முஸ்தபா
. fj,. fj,general,. எஃப்ஜே,. எஃப்ஜே,மணவை முஸ்தபா
. gd,. gd,general,ஜிடி,ஜிடி,மணவை முஸ்தபா
. gf,. gf,general,. ஜி. எஃப்,. ஜி. எஃப்,மணவை முஸ்தபா
. gh,. gh,general,ஜிஹெச்,ஜிஹெச்,மணவை முஸ்தபா
. gi,. gi,general,ஜிஐ,ஜிஐ,மணவை முஸ்தபா
. gm,. gm,general,ஜிஎம்,ஜிஎம்,மணவை முஸ்தபா
. gov,. gov,general,கவ்,கவ்,மணவை முஸ்தபா
. gov. ca,. gov. ca,general,. ஜிஓவி. சி. ஏ,. ஜிஓவி. சி. ஏ,மணவை முஸ்தபா
. gq,. gq,general,ஜிகியூ,ஜிகியூ,மணவை முஸ்தபா
. gt,. gt,general,ஜி. டீ,ஜி. டீ,மணவை முஸ்தபா
. gy,. gy,general,. ஜிஒய்,. ஜிஒய்,மணவை முஸ்தபா
. gz,. gz,general,ஜிஇஸட்,ஜிஇஸட்,மணவை முஸ்தபா
. hk,. hk,general,. ஹெச்கே,. ஹெச்கே,மணவை முஸ்தபா
. hn,. hn,general,. ஹெச்என்,. ஹெச்என்,மணவை முஸ்தபா
. hqx,. hqx,general,. ஹெச்கியூஎக்ஸ்,. ஹெச்கியூஎக்ஸ்,மணவை முஸ்தபா
. hr,. hr,general,. ஹெச்ஆர்,. ஹெச்ஆர்,மணவை முஸ்தபா
. ht,. ht,general,. ஹெச்டி,. ஹெச்டி,மணவை முஸ்தபா
. htm,. htm,general,. ஹெச்டிஎம்,. ஹெச்டிஎம்,மணவை முஸ்தபா
. html,. html,general,. ஹெச்டிஎம்எல்,. ஹெச்டிஎம்எல்,மணவை முஸ்தபா
. hu,. hu,general,. ஹெச்யூ,. ஹெச்யூ,மணவை முஸ்தபா
. id,. id,general,. ஐடி,. ஐடி,மணவை முஸ்தபா
. ie,. ie,general,. ஐஇ,. ஐஇ,மணவை முஸ்தபா
. il,. il,general,. ஐஎல்,. ஐஎல்,மணவை முஸ்தபா
. in. us,. in. us,general,இன். யுஎஸ்,இன். யுஎஸ்,மணவை முஸ்தபா
. ini,. ini,general,ஐஎன்ஐ,ஐஎன்ஐ,மணவை முஸ்தபா
. iq,. iq,general,. ஐகியூ,. ஐகியூ,மணவை முஸ்தபா
. ir,. ir,general,. ஐஆர்,. ஐஆர்,மணவை முஸ்தபா
. is,. is,general,. ஐஎஸ்,. ஐஎஸ்,மணவை முஸ்தபா
. it,. it,general,. ஐடீ,. ஐடீ,மணவை முஸ்தபா
. jm,. jm,general,. ஜேஎம்,. ஜேஎம்,மணவை முஸ்தபா
. jo,. jo,general,. ஜேஒ,. ஜேஒ,மணவை முஸ்தபா
. ke,. ke,general,. கேஇ,. கேஇ,மணவை முஸ்தபா
. kp,. kp,general,கேபீ,கேபீ,மணவை முஸ்தபா
. kw,. kw,general,கேடபிள்யூ,கேடபிள்யூ,மணவை முஸ்தபா
. ky,. ky,general,கேஒய்,கேஒய்,மணவை முஸ்தபா
. kz,. kz,general,கேஇஸட்,கேஇஸட்,மணவை முஸ்தபா
. la,. la,general,எல்ஏ,எல்ஏ,மணவை முஸ்தபா
. lb,. lb,general,. எல்பி,. எல்பி,மணவை முஸ்தபா
. lc,. lc,general,. எல்சி,. எல்சி,மணவை முஸ்தபா
. lr,. lr,general,. எல். ஆர்,. எல். ஆர்,மணவை முஸ்தபா
. ls,. ls,general,. எல்எஸ்,. எல்எஸ்,மணவை முஸ்தபா
. lt,. lt,general,. எல்டி,. எல்டி,மணவை முஸ்தபா
. lu,. lu,general,. எல்யூ,. எல்யூ,மணவை முஸ்தபா
. lv,. lv,general,. எல்வி,. எல்வி,மணவை முஸ்தபா
. ly,. ly,general,. எல்ஒய்,. எல்ஒய்,மணவை முஸ்தபா
. lzh,. lzh,general,. எல்இஸட்ஹெச்,. எல்இஸட்ஹெச்,மணவை முஸ்தபா
. ma,. ma,general,. எம்ஏ,. எம்ஏ,மணவை முஸ்தபா
. ma. us,. ma. us,general,. எம். ஏ. யு. எஸ்,. எம். ஏ. யு. எஸ்,மணவை முஸ்தபா
. mb. ca,. mb. ca,general,. எம். பி. சி. ஏ,. எம். பி. சி. ஏ,மணவை முஸ்தபா
. mc,. mc,general,எம்சி,எம்சி,மணவை முஸ்தபா
. md. us,. md. us,general,. எம். டி. யு. எஸ்,. எம். டி. யு. எஸ்,மணவை முஸ்தபா
. mg,. mg,general,. எம்ஜி,. எம்ஜி,மணவை முஸ்தபா
. mh,. mh,general,எம்ஹெச்,எம்ஹெச்,மணவை முஸ்தபா
. mil,. mil,general,. மில்; எம்ஐஎல்,. மில்; எம்ஐஎல்,மணவை முஸ்தபா
. mm,. mm,general,. எம்எம்,. எம்எம்,மணவை முஸ்தபா
. mn,. mn,general,. எம்என்,. எம்என்,மணவை முஸ்தபா
. mo,. mo,general,. எம்ஓ,. எம்ஓ,மணவை முஸ்தபா
. montreal. ca,. montreal. ca,general,. மான்ட்ரீல். சிஏ,. மான்ட்ரீல். சிஏ,மணவை முஸ்தபா
. moov,. moov,general,". மூவ், . எம்ஓஓவி",". மூவ், . எம்ஓஓவி",மணவை முஸ்தபா
. mov,. mov,general,. எம்ஓவி,. எம்ஓவி,மணவை முஸ்தபா
. mpeg,. mpeg,general,. எம்பெக்,. எம்பெக்,மணவை முஸ்தபா
. mpg,. mpg,general,. எம்பீஜி,. எம்பீஜி,மணவை முஸ்தபா
. mq,. mq,general,. எம். கியூ,. எம். கியூ,மணவை முஸ்தபா
. ms,. ms,general,. எம்எஸ்,. எம்எஸ்,மணவை முஸ்தபா
. ms. us,. ms. us,general,. எம்எஸ். யுஎஸ்,. எம்எஸ். யுஎஸ்,மணவை முஸ்தபா
. mt,. mt,general,. எம். டீ,. எம். டீ,மணவை முஸ்தபா
. mv,. mv,general,. எம்வி,. எம்வி,மணவை முஸ்தபா
. pe,. pe,general,. பீஇ,. பீஇ,மணவை முஸ்தபா
. pe. ca,. pe. ca,general,. பீஇ. சிஏ,. பீஇ. சிஏ,மணவை முஸ்தபா
. pg,. pg,general,பீஜி,பீஜி,மணவை முஸ்தபா
. ph,. ph,general,பிஹெச்,பிஹெச்,மணவை முஸ்தபா
. pict,. pict,general,பிக்ட்,பிக்ட்,மணவை முஸ்தபா
. pit,. pit,general,. பிட்,. பிட்,மணவை முஸ்தபா
. pk,. pk,general,. பீகே,. பீகே,மணவை முஸ்தபா
. pm,. pm,general,. பீ. எம்,. பீ. எம்,மணவை முஸ்தபா
. pn,. pn,general,பிஎன்,பிஎன்,மணவை முஸ்தபா
. pr,. pr,general,. பீஆர்,. பீஆர்,மணவை முஸ்தபா
. pt,. pt,general,. பீடீ,. பீடீ,மணவை முஸ்தபா
. qa,. qa,general,கியூஏ,கியூஏ,மணவை முஸ்தபா
. qt,. qt,general,கியூடி,கியூடி,மணவை முஸ்தபா
. ru,. ru,general,. ஆர்யு,. ஆர்யு,மணவை முஸ்தபா
. rw,. rw,general,ஆர்டபிள்யூ,ஆர்டபிள்யூ,மணவை முஸ்தபா
. sb,. sb,general,. எஸ்பி,. எஸ்பி,மணவை முஸ்தபா
. sc,. sc,general,. எஸ்சி,. எஸ்சி,மணவை முஸ்தபா
. sd,. sd,general,. எஸ்டி,. எஸ்டி,மணவை முஸ்தபா
. sea,. sea,general,". சீ , எஸ்இஏ",". சீ , எஸ்இஏ",மணவை முஸ்தபா
. sf. ca. us,. sf. ca. us,general,. எஸ்எஃப். சிஏ. யுஎஸ்,. எஸ்எஃப். சிஏ. யுஎஸ்,மணவை முஸ்தபா
. sgm,. sgm,general,. எஸ்ஜிஎம்,. எஸ்ஜிஎம்,மணவை முஸ்தபா
. sh,. sh,general,எஸ்ஹெச்,எஸ்ஹெச்,மணவை முஸ்தபா
. si,. si,general,. எஸ்ஐ,". எஸ்ஐ,எஸ்ஐ,. எஸ்ஜே",மணவை முஸ்தபா
. sig,. sig,general,". சிக், . எஸ்ஐஜி",". சிக், . எஸ்ஐஜி",மணவை முஸ்தபா
. sit,. sit,general,சிட்;. எஸ்ஐடீ,சிட்;. எஸ்ஐடீ,மணவை முஸ்தபா
. sk,. sk,general,எஸ்கே,எஸ்கே,மணவை முஸ்தபா
. sm,. sm,general,. எஸ்எம்,. எஸ்எம்,மணவை முஸ்தபா
. sn,. sn,general,. எஸ்என்,. எஸ்என்,மணவை முஸ்தபா
. snd,. snd,general,. எஸ்என்டி,. எஸ்என்டி,மணவை முஸ்தபா
. sr,. sr,general,. எஸ்ஆர்,. எஸ்ஆர்,மணவை முஸ்தபா
. st,. st,general,. எஸ்டீ,. எஸ்டீ,மணவை முஸ்தபா
. state. us,. state. us,general,ஸ்டேட். யுஸ்,ஸ்டேட். யுஸ்,மணவை முஸ்தபா
. su,. su,general,. எஸ்யூ,. எஸ்யூ,மணவை முஸ்தபா
. sv,. sv,general,. எஸ்வி,. எஸ்வி,மணவை முஸ்தபா
. sys,. sys,general,. சிஸ்,. சிஸ்,மணவை முஸ்தபா
. tar,. tar,general,. டார்,. டார்,மணவை முஸ்தபா
. tc,. tc,general,. டீசி,. டீசி,மணவை முஸ்தபா
. td,. td,general,. டீடி,. டீடி,மணவை முஸ்தபா
. tf,. tf,general,. டீ. எஃப்,. டீ. எஃப்,மணவை முஸ்தபா
. tg,. tg,general,. டீஜி,. டீஜி,மணவை முஸ்தபா
. th,. th,general,. டீஹெச்,. டீஹெச்,மணவை முஸ்தபா
. tif,. tif,general,டிஃப்,டிஃப்,மணவை முஸ்தபா
. tj,. tj,general,. டீஜே,. டீஜே,மணவை முஸ்தபா
. tk,. tk,general,. டீகே,. டீகே,மணவை முஸ்தபா
. tm,. tm,general,. டீஎம்,. டீஎம்,மணவை முஸ்தபா
. tn,. tn,general,. டீஎன்,. டீஎன்,மணவை முஸ்தபா
. to,. to,general,. டீஓ,. டீஓ,மணவை முஸ்தபா
. tr,. tr,general,. டீஆர்,. டீஆர்,மணவை முஸ்தபா
. tt,. tt,general,. டீடீ,. டீடீ,மணவை முஸ்தபா
. tv,. tv,general,. டீவி,. டீவி,மணவை முஸ்தபா
. tw,. tw,general,. டி. டபிள்யூ,. டி. டபிள்யூ,மணவை முஸ்தபா
. tx,. tx,general,. எஃப்எக்ஸ்,. எஃப்எக்ஸ்,மணவை முஸ்தபா
. txt,. txt,general,. டிஎக்ஸ்டீ,. டிஎக்ஸ்டீ,மணவை முஸ்தபா
. tz,. tz,general,. டீஇஸட்,. டீஇஸட்,மணவை முஸ்தபா
. ua,. ua,general,யூஏ,யூஏ,மணவை முஸ்தபா
. uk,. uk,general,. யுகே,. யுகே,மணவை முஸ்தபா
. us,. us,general,. யுஎஸ்,. யுஎஸ்,மணவை முஸ்தபா
. uue,. uue,general,. uue,. uue,மணவை முஸ்தபா
. uy,. uy,general,. யுஒய்,. யுஒய்,மணவை முஸ்தபா
. uz,. uz,general,. யுஇஸ்ட்,. யுஇஸ்ட்,மணவை முஸ்தபா
. va,. va,general,விஏ,விஏ,மணவை முஸ்தபா
. va. us,. va. us,general,. விஏ. யுஎஸ்,. விஏ. யுஎஸ்,மணவை முஸ்தபா
. vancouver. ca,. vancouver. ca,general,. வான்கூவர். சிஏ,. வான்கூவர். சிஏ,மணவை முஸ்தபா
. vc,. vc,general,. விசி,. விசி,மணவை முஸ்தபா
. vg,. vg,general,விஜி,விஜி,மணவை முஸ்தபா
. vi,. vi,general,விஐ,விஐ,மணவை முஸ்தபா
. victoria. ca,. victoria. ca,general,. விக்டோரியா. சிஏ,. விக்டோரியா. சிஏ,மணவை முஸ்தபா
. vn,. vn,general,விஎன்,விஎன்,மணவை முஸ்தபா
. vய,. vய,general,. வியு,. வியு,மணவை முஸ்தபா
. wav,. wav,general,வேவ்,வேவ்,மணவை முஸ்தபா
. wp,. wp,general,. டபிள்யூபீ,. டபிள்யூபீ,மணவை முஸ்தபா
. wri,. wri,general,. டபிள்யூஆர்ஐ,. டபிள்யூஆர்ஐ,மணவை முஸ்தபா
. ws,. ws,general,. டபிள்யூஎஸ்,. டபிள்யூஎஸ்,மணவை முஸ்தபா
. wv. us,. wv. us,general,. டபிள்யூ. வி. யு. எஸ்,. டபிள்யூ. வி. யு. எஸ்,மணவை முஸ்தபா
. ye,. ye,general,. ஒய்இ,. ஒய்இ,மணவை முஸ்தபா
. yk. ca,. yk. ca,general,. ஒய்கே. சி. ஏ,. ஒய்கே. சி. ஏ,மணவை முஸ்தபா
. yt,. yt,general,ஒய்டீ,ஒய்டீ,மணவை முஸ்தபா
. yu,. yu,general,. ஒய்யு,. ஒய்யு,மணவை முஸ்தபா
. z,. z,general,. இஸட்,. இஸட்,மணவை முஸ்தபா
. za,. za,general,இஸட்ஏ,இஸட்ஏ,மணவை முஸ்தபா
. zairia,. zairia,general,ஜைரியா,ஜைரியா,மணவை முஸ்தபா
. zr,. zr,general,. இசட்ஆர்,. இசட்ஆர்,மணவை முஸ்தபா
.bց,.bց,general,.பி.ஜி,.பி.ஜி,மணவை முஸ்தபா
.oh.us,.oh.us,general,.ஓச்.யுஎஸ்,.ஓச்.யுஎஸ்,மணவை முஸ்தபா
.ok.us,.ok.us,general,.ஒகே.யு.எஸ்,.ஒகே.யு.எஸ்,மணவை முஸ்தபா
.pdf,.pdf,general,. பீடிஎஃப்,. பீடிஎஃப்,மணவை முஸ்தபா
.sa,.sa,general,எஸ்ஏ,எஸ்ஏ,மணவை முஸ்தபா
.sz,.sz,general,. எஸ்இஸட்,. எஸ்இஸட்,மணவை முஸ்தபா
.zm,.zm,general,இஸட்எம்,இஸட்எம்,மணவை முஸ்தபா
A,a,general,ஏ,ஏ,மணவை முஸ்தபா
A C M ஏசிஎம்,a c m ஏசிஎம்,general,கணினி,கணினி,மணவை முஸ்தபா
A-D,a-d,general,Analog-to-Digital -என்பதன் குறுக்கம்: ஒப்பு-லக்க மா,Analog-to-Digital -என்பதன் குறுக்கம்: ஒப்பு-லக்க மா,அண்ணா பல்கலைக்கழகம்
A-D Analog to Digital,a-d analog to digital,general,தொடர்முறை இலக்கமுறை மாற்றி',தொடர்முறை இலக்கமுறை மாற்றி',மணவை முஸ்தபா
A-D converter,a-d converter,general,தொடர்முறை இலக்க முறை மாற்றி,தொடர்முறை இலக்க முறை மாற்றி,மணவை முஸ்தபா
A/B switch box,a/b switch box,networking,ஏ/பிமாற்று விசைப் பெட்டி,ஏ/பிமாற்று விசைப் பெட்டி,மணவை முஸ்தபா
abacus,abacus,general,மணிச்சட்டம்,"மணிச்சட்டம்,மணிச் சட்டம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
abandon,abandon,general,கைவிடு,கைவிடு,மணவை முஸ்தபா
abbreviated address,abbreviated address,general,சுருங்கிய முகவரி முறை,சுருங்கிய முகவரி முறை,மணவை முஸ்தபா
abbreviated addressing,abbreviated addressing,general,குறுக்க முகவாி முறை,குறுக்க முகவாி முறை,அண்ணா பல்கலைக்கழகம்
abbreviated dialing,abbreviated dialing,general,சுருங்கிய சுழற்றுகை,சுருங்கிய சுழற்றுகை,மணவை முஸ்தபா
ABC,abc,general,ஏபிசி,ஏபிசி,மணவை முஸ்தபா
Abductive Reasoning,abductive reasoning,ai,ஊக ஏரணம்,ஊக ஏரணம்,காங்கேயன் பசுபதி
abend,abend,general,யல்பிலா முடிவு,யல்பிலா முடிவு,அண்ணா பல்கலைக்கழகம்
ABIOS,abios,general,ஏபயாஸ்,ஏபயாஸ்,மணவை முஸ்தபா
abnormal termination,abnormal termination,general,இயல் பற்ற நிறுத்தம்,இயல் பற்ற நிறுத்தம்,மணவை முஸ்தபா
abort,abort,general,முறித்தல்,"முறித்தல்,முறி,கைவிடல்","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா"
about,about,general,பற்றி,பற்றி,மணவை முஸ்தபா
abscissa,abscissa,general,கிடையாயம்,"கிடையாயம்,இடையச்சுத் தொலவு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
absolute address,absolute address,general,தனி முகவாி,தனி முகவாி,அண்ணா பல்கலைக்கழகம்
absolute addressing,absolute addressing,general,சரியான முகவரியிடல்,சரியான முகவரியிடல்,மணவை முஸ்தபா
absolute cell reference,absolute cell reference,office,தனிச் சிற்றம் குறித்தல்; நேரடிக் கலம் குறித்தல்,தனிச் சிற்றம் குறித்தல்; நேரடிக் கலம் குறித்தல்,மணவை முஸ்தபா
absolute coding,absolute coding,general,தனிக் குறிமுறையாக்கம்,"தனிக் குறிமுறையாக்கம்,நேரடிக் குறியீட்டு முறை ; தனிக் குறி முறை ; முற்றுக் குறிமுறை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
absolute coordinates,absolute coordinates,general,நேரடி ஆயத் தொலைவுகள்,நேரடி ஆயத் தொலைவுகள்,மணவை முஸ்தபா
absolute disk sectors,absolute disk sectors,hardware,நேர் வட்டுப் பகுதி,நேர் வட்டுப் பகுதி,மணவை முஸ்தபா
absolute error,absolute error,general,தனி தவறு; தனி வழு முற்றுப் பிழை,தனி தவறு; தனி வழு முற்றுப் பிழை,மணவை முஸ்தபா
absolute link,absolute link,general,நேரடித் தொடர்பு முழு இணைப்பு,நேரடித் தொடர்பு முழு இணைப்பு,மணவை முஸ்தபா
absolute movement,absolute movement,general,தனி நகர்வு,"தனி நகர்வு,நிரந்தரப் பெயர்ச்சி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
absolute path,absolute path,general,முழுமையான பாதை ; முழுப்பாதை,முழுமையான பாதை ; முழுப்பாதை,மணவை முஸ்தபா
absolute pointing device,absolute pointing device,general,முற்றப் பொருந்திய சுட்டுக்கருவி,முற்றப் பொருந்திய சுட்டுக்கருவி,மணவை முஸ்தபா
absolute URL,absolute url,internet,முழு யூ ஆர் எல்,முழு யூ ஆர் எல்,மணவை முஸ்தபா
absolute value,absolute value,general,நேர் அளவு,நேர் அளவு,மணவை முஸ்தபா
absolute vector,absolute vector,general,நேர் அளவு நெறியம்,நேர் அளவு நெறியம்,மணவை முஸ்தபா
abstract,abstract,general,கருத்தியல்,கருத்தியல்,மணவை முஸ்தபா
abstract class,abstract class,programming,கருத்தியல் இனக்குழு,கருத்தியல் இனக்குழு,மணவை முஸ்தபா
abstract data type,abstract data type,general,கருத்தியலான தரவு இனம்,கருத்தியலான தரவு இனம்,மணவை முஸ்தபா
abstract machine,abstract machine,general,கருத்தியல் எந்திரம்; பொழிப்பு எந்திரம்,கருத்தியல் எந்திரம்; பொழிப்பு எந்திரம்,மணவை முஸ்தபா
abstract methods,abstract methods,general,கருத்தியல் வழி முறைகள்,கருத்தியல் வழி முறைகள்,மணவை முஸ்தபா
abstract syntax,abstract syntax,general,கருத்தியல் தரவு தொடரியல்,கருத்தியல் தரவு தொடரியல்,மணவை முஸ்தபா
abstract syntax notation,abstract syntax notation,general,கருத்தியல் தரவு இனக்குறிமானம்,கருத்தியல் தரவு இனக்குறிமானம்,மணவை முஸ்தபா
abstract syntax tree,abstract syntax tree,general,கருத்தியல் தொடரமைப்பு மரவுரு,கருத்தியல் தொடரமைப்பு மரவுரு,மணவை முஸ்தபா
Abstraction,abstraction,general,சாரப்படுத்தல்,"சாரப்படுத்தல்,பண்புச் சுருக்கம்",காங்கேயன் பசுபதி
AC,ac,general,ஏசி,ஏசி,மணவை முஸ்தபா
ACC,acc,general,ஏசிசி,ஏசிசி,மணவை முஸ்தபா
acceleration time,acceleration time,general,முடுக்கு நேரம்,முடுக்கு நேரம்,அ.கி. மூர்த்தி
acceptable user policy,acceptable user policy,database,ஏற்கத்தக்க பயனாளர் கோட்பாடு,ஏற்கத்தக்க பயனாளர் கோட்பாடு,மணவை முஸ்தபா
acceptance test,acceptance test,general,ஏற்புச் சோதனை,"ஏற்புச் சோதனை,ஏற்புச் சோதனை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
access,access,general,அணுக்கம்,"அணுக்கம்,அணுகல்,அணுககம்","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,அ.கி. மூர்த்தி,மணவை முஸ்தபா,aangilam.org"
access arm,access arm,general,அணுகு கை,அணுகு கை,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
ACCESS bus,access bus,hardware,அணுகு பாட்டை; அணுகு மின்வழி,அணுகு பாட்டை; அணுகு மின்வழி,மணவை முஸ்தபா
access code,access code,programming,அணுகு குறிமுறையாக்கம்,"அணுகு குறிமுறையாக்கம்,அணுகுக் குறி முறை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
access control,access control,general,அணுகுக் கட்டுப்பாடு,அணுகுக் கட்டுப்பாடு,மணவை முஸ்தபா
access control list,access control list,general,அணுகல் கட்டுப்பாட்டுப் பட்டியல்,அணுகல் கட்டுப்பாட்டுப் பட்டியல்,மணவை முஸ்தபா
access control register,access control register,general,அணுககக் கட்டுப்பாட்டுப் பதிவகம்,"அணுககக் கட்டுப்பாட்டுப் பதிவகம்,அணுகுக் கட்டுப்பாட்டுப் பதிவகம்","அ.கி. மூர்த்தி,மணவை முஸ்தபா"
access control words,access control words,general,அணுககக் கட்டுப்பாட்டுச் சொற்கள்,அணுககக் கட்டுப்பாட்டுச் சொற்கள்,அ.கி. மூர்த்தி
access denied,access denied,general,அணுகல் மறுப்பு,அணுகல் மறுப்பு,மணவை முஸ்தபா
access event,access event,general,"அணுகல் நிகழ்ச்சி, அணுகு நிகழ்வு","அணுகல் நிகழ்ச்சி, அணுகு நிகழ்வு",மணவை முஸ்தபா
access hole,access hole,general,அணுகு துளை,அணுகு துளை,மணவை முஸ்தபா
access immediate,access immediate,general,உடனடி அணுகல்,உடனடி அணுகல்,மணவை முஸ்தபா
access level,access level,general,அணுகக மட்டம்,"அணுகக மட்டம்,அணுகு மட்டம்; அணுகு நிலை","அ.கி. மூர்த்தி,மணவை முஸ்தபா"
access light,access light,general,அணுகு ஒளி,அணுகு ஒளி,மணவை முஸ்தபா
access limits,access limits,general,அணுகு எல்லைகள்,அணுகு எல்லைகள்,மணவை முஸ்தபா
access mask,access mask,general,அணுகல் மறைப்பி,அணுகல் மறைப்பி,மணவை முஸ்தபா
access mechanism,access mechanism,general,அணுகுஞ் செயலமைப்பு,"அணுகுஞ் செயலமைப்பு,அணுகு பொறியமைவு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
"access memory, random","access memory, random",hardware,குறிப்பின்றி அணுகு நினைவகம்,குறிப்பின்றி அணுகு நினைவகம்,மணவை முஸ்தபா
access method,access method,general,அணுகு முறை,"அணுகு முறை,அணுகுமுறை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
access mode,access mode,general,அணுகு பாங்கு,அணுகு பாங்கு,மணவை முஸ்தபா
access monitoring,access monitoring,hardware,அணுகுக் கண்காணிப்பு,அணுகுக் கண்காணிப்பு,மணவை முஸ்தபா
access number,access number,general,அணுகு எண்,அணுகு எண்,மணவை முஸ்தபா
access path,access path,general,அணுகு பாதை; அணுகுவழி,அணுகு பாதை; அணுகுவழி,மணவை முஸ்தபா
access points,access points,general,அணுகு முனைகள்; இயக்க முனைகள்,அணுகு முனைகள்; இயக்க முனைகள்,மணவை முஸ்தபா
access privileges,access privileges,general,அணுகு சலுகைகள்,அணுகு சலுகைகள்,மணவை முஸ்தபா
access protocol,access protocol,networking,அணுகு நெறிமுறை,அணுகு நெறிமுறை,மணவை முஸ்தபா
access provider,access provider,general,அணுகல் வழங்கி,அணுகல் வழங்கி,மணவை முஸ்தபா
access rights,access rights,general,அணுகு உரிமைகள்,அணுகு உரிமைகள்,மணவை முஸ்தபா
access specifier,access specifier,general,அணுகல் வரையறுப்பி,அணுகல் வரையறுப்பி,மணவை முஸ்தபா
access speed,access speed,general,அணுகு வேகம்,அணுகு வேகம்,மணவை முஸ்தபா
